Gene	# Structural Variant	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
FGF16	1	1	4512	<0.1%	No
CHEK2	1	1	4053	<0.1%	Yes
TRMT44	1	1	4512	<0.1%	No
NRP2	2	2	4512	<0.1%	No
ZCCHC7	1	1	4512	<0.1%	No
LMNA	2	2	4512	<0.1%	Yes
PRKAR1A	3	3	4003	<0.1%	Yes
SFPQ	2	2	18	11.1%	Yes
KAT6A	1	1	1140	<0.1%	Yes
SOX9	1	1	3813	<0.1%	Yes
LINC01151	1	1	4512	<0.1%	No
PRKAR1B	1	1	4512	<0.1%	No
SPOCD1	1	1	4512	<0.1%	No
ERBB4	8	8	4461	0.2%	Yes
ERBB3	6	6	4124	0.1%	Yes
RTKN2	1	1	4512	<0.1%	No
ZNF716	1	1	4512	<0.1%	No
EPS15	1	1	37	2.7%	Yes
ASH1L	1	1	4512	<0.1%	No
TBC1D22B	1	1	4512	<0.1%	No
ATR	5	5	3674	0.1%	Yes
ATRX	22	21	4046	0.5%	Yes
PLAG1	1	1	398	0.3%	Yes
SDK2	2	2	4512	<0.1%	No
MSN	1	1	37	2.7%	Yes
ANXA6	1	1	4512	<0.1%	No
IRAK3	1	1	4512	<0.1%	No
ASXL1	1	1	4045	<0.1%	Yes
DICER1	2	2	3918	<0.1%	Yes
SIRT5	1	1	4512	<0.1%	No
PRKCI	2	2	2837	<0.1%	Yes
PCDH9	1	1	4512	<0.1%	No
PRKD1	1	1	1759	<0.1%	Yes
ERG	34	32	3633	0.9%	Yes
TET2	1	1	4022	<0.1%	Yes
LEUTX	1	1	4512	<0.1%	No
ACSS3	1	1	4512	<0.1%	No
BNC2	1	1	4512	<0.1%	No
ERCC2	1	1	3986	<0.1%	Yes
AXL	2	2	4076	<0.1%	Yes
XPO1	2	2	4045	<0.1%	Yes
PLCG2	2	2	2349	<0.1%	Yes
PRKCA	1	1	229	0.4%	No
PRKDC	3	3	1432	0.2%	Yes
KCNH3	1	1	4512	<0.1%	No
CIITA	3	3	1277	0.2%	Yes
RRAGC	1	1	1970	<0.1%	Yes
MAPK3	1	1	2261	<0.1%	Yes
YWHAE	3	3	229	1.3%	Yes
BCORL1	3	2	1546	0.1%	Yes
USP12	1	1	4512	<0.1%	No
CD99	1	1	4512	<0.1%	No
MGAT4C	1	1	4512	<0.1%	No
CTDSP2	3	3	4512	<0.1%	No
APC	6	6	4435	0.1%	Yes
TMC1	1	1	4512	<0.1%	No
B2M	1	1	3724	<0.1%	Yes
NRN1	1	1	4512	<0.1%	No
ARID2	4	4	4001	<0.1%	Yes
BIRC2	1	1	60	1.7%	No
TFG	6	6	49	12.2%	Yes
RIC3	2	2	4512	<0.1%	No
STK19	1	1	1747	<0.1%	Yes
ABCA7	1	1	4512	<0.1%	No
NOS1AP	1	1	4512	<0.1%	No
ITSN1	1	1	4512	<0.1%	No
LRP1	4	4	32	12.5%	No
ESR1	4	3	4104	<0.1%	Yes
LMOD1	1	1	4512	<0.1%	No
DOCK8	1	1	660	0.2%	No
CCBE1	1	1	4512	<0.1%	No
BIRC3	1	1	2425	<0.1%	Yes
XIAP	1	1	2507	<0.1%	Yes
GPALPP1	1	1	4512	<0.1%	No
APOBEC1	1	1	4512	<0.1%	No
HS3ST3A1	1	1	4512	<0.1%	No
ZNF268	1	1	4512	<0.1%	No
LRP5	1	1	4512	<0.1%	Yes
RABGAP1	1	1	4512	<0.1%	No
FUBP1	4	4	2806	0.1%	Yes
SHBG	1	1	32	3.1%	No
MITF	6	6	4035	0.1%	Yes
LUZP1	1	1	4512	<0.1%	No
DOCK4	1	1	4512	<0.1%	No
MED12	4	4	3597	0.1%	Yes
U2AF1	1	1	3997	<0.1%	Yes
RRAGB	1	1	4512	<0.1%	No
PDE4A	1	1	4512	<0.1%	No
KMT2A	7	6	4053	0.1%	Yes
MTMR3	2	2	4512	<0.1%	No
PDE6D	1	1	4512	<0.1%	No
ZNF18	1	1	4512	<0.1%	No
APP	1	1	4512	<0.1%	No
MLH1	1	1	4500	<0.1%	Yes
LINC01115	1	1	4512	<0.1%	No
CCND1	1	1	3998	<0.1%	Yes
BCL2	2	2	3953	<0.1%	Yes
CCNB3	2	2	13	15.4%	Yes
SPOP	1	1	3595	<0.1%	Yes
LINC01854	1	1	4512	<0.1%	No
DLEU7	1	1	4512	<0.1%	No
PMS2	1	1	3811	<0.1%	Yes
IRS2	2	2	2935	<0.1%	Yes
USP2-AS1	1	1	4512	<0.1%	No
PDGFA	1	1	32	3.1%	No
PDGFB	2	2	310	0.6%	Yes
PDGFRA	4	2	4504	<0.1%	Yes
ST8SIA1	1	1	4512	<0.1%	No
TRHDE	1	1	4512	<0.1%	No
AQP5	1	1	4512	<0.1%	No
SLC25A24	1	1	4512	<0.1%	No
ADH5	1	1	4512	<0.1%	No
CLSTN3	1	1	4512	<0.1%	No
ABCA3	1	1	4512	<0.1%	No
ABCB7	1	1	4512	<0.1%	No
RUNDC3B	1	1	4512	<0.1%	No
ABL1	5	5	4458	0.1%	Yes
RICTOR	1	1	3603	<0.1%	Yes
HCCAT5	1	1	4512	<0.1%	No
SRGAP2	1	1	4512	<0.1%	No
ARF3	1	1	4512	<0.1%	No
STON2	1	1	4512	<0.1%	No
SPECC1L	2	2	4512	<0.1%	No
LRCH1	1	1	4512	<0.1%	No
PDGFRB	7	7	4084	0.2%	Yes
RHEB	1	1	3466	<0.1%	Yes
KMT2B	4	4	1982	0.2%	Yes
SARS2	1	1	4512	<0.1%	No
RMRP	1	1	65	1.5%	No
SMAD2	1	1	4035	<0.1%	Yes
SMAD3	4	3	2743	0.1%	Yes
TMSB4X	1	1	4512	<0.1%	No
ACAT1	1	1	4512	<0.1%	No
SMAD4	2	2	4507	<0.1%	Yes
TMPRSS2	6	5	3519	0.1%	Yes
NCOA3	2	2	2482	<0.1%	Yes
EXOC1L	1	1	4512	<0.1%	No
PPWD1	1	1	4512	<0.1%	No
PARP1	4	4	2655	0.2%	Yes
ZDHHC17	1	1	4512	<0.1%	No
RHOA	1	1	3568	<0.1%	Yes
CIC	16	15	3624	0.4%	Yes
CERT1	2	2	4512	<0.1%	No
PCLAF	1	1	4512	<0.1%	No
ASIC2	1	1	4512	<0.1%	No
AMER1	1	1	2934	<0.1%	Yes
PEPD	1	1	4512	<0.1%	No
FAAP20	1	1	660	0.2%	No
CLASP2	1	1	4512	<0.1%	No
LOC101927314	1	1	4512	<0.1%	No
LOC101927798	1	1	4512	<0.1%	No
TNS3	1	1	4512	<0.1%	No
LRRIQ1	2	2	4512	<0.1%	No
SUFU	2	2	4004	<0.1%	Yes
DMC1	1	1	660	0.2%	No
COL14A1	1	1	4512	<0.1%	No
ACTA2	1	1	4512	<0.1%	No
CREB3L2	11	11	42	26.2%	Yes
KLF4	1	1	3399	<0.1%	Yes
FMN1	1	1	4512	<0.1%	No
LINC01099	1	1	4512	<0.1%	No
KDM6B	4	4	499	0.8%	No
AP2A1	1	1	4512	<0.1%	No
MEAF6	1	1	13	7.7%	No
ARHGEF18	1	1	4512	<0.1%	No
CRTC1	4	4	1132	0.4%	Yes
GULP1	2	2	4512	<0.1%	No
LRRK2	1	1	80	1.3%	Yes
GRM8	1	1	58	1.7%	No
TNFAIP3	4	3	4004	<0.1%	Yes
ACTB	1	1	111	0.9%	Yes
MNX1-AS1	1	1	4512	<0.1%	No
DSCAM	2	2	4512	<0.1%	No
WDR90	1	1	77	1.3%	Yes
ZRSR2	3	2	3724	<0.1%	Yes
TRIP10	1	1	4512	<0.1%	No
ILRUN	1	1	4512	<0.1%	No
AKAP8	1	1	4512	<0.1%	No
SYNE1	2	2	280	0.7%	No
FNDC3B	1	1	4512	<0.1%	No
SMCHD1	1	1	4512	<0.1%	No
PRPF40B	2	2	501	0.4%	No
TCTE1	1	1	4512	<0.1%	No
EPYC	1	1	4512	<0.1%	No
DNAJC16	1	1	4512	<0.1%	No
PTPRT	2	2	2780	<0.1%	Yes
FAF1	1	1	77	1.3%	Yes
FEV	3	3	49	6.1%	Yes
KDM5C	6	6	3888	0.2%	Yes
TP53	106	99	4510	2.2%	Yes
BABAM2	1	1	660	0.2%	No
PATZ1	2	2	6	33.3%	Yes
TOP1	1	1	2918	<0.1%	Yes
RBM10	1	1	3403	<0.1%	Yes
GSK3B	1	1	2894	<0.1%	Yes
NACC2	1	1	4512	<0.1%	No
ZNF595	1	1	4512	<0.1%	No
DGKG	1	1	4512	<0.1%	No
SPPL2B	1	1	4512	<0.1%	No
HOOK3	2	1	63	1.6%	Yes
NR4A3	10	9	50	18.0%	Yes
PPFIBP1	1	1	4512	<0.1%	Yes
USP8	1	1	660	0.2%	Yes
CTNNBL1	1	1	4512	<0.1%	No
PIK3R6	1	1	4512	<0.1%	No
BTBD11	1	1	4512	<0.1%	No
ATXN7L3B	3	3	4512	<0.1%	No
KLLN	1	1	660	0.2%	No
ATRNL1	1	1	4512	<0.1%	No
SACS	1	1	4512	<0.1%	No
ACVR1	1	1	3198	<0.1%	Yes
AGAP10P	1	1	4512	<0.1%	No
DAXX	1	1	3378	<0.1%	Yes
DVL2	2	2	4512	<0.1%	No
LATS1	1	1	2507	<0.1%	Yes
TPR	3	2	63	3.2%	Yes
MTA1	1	1	660	0.2%	No
TPM3	4	3	142	2.1%	Yes
YPEL1	1	1	4512	<0.1%	No
SLC9A3R2	1	1	4512	<0.1%	No
NUP214	3	3	182	1.6%	Yes
SF3A3	1	1	4512	<0.1%	No
BICC1	1	1	4512	<0.1%	No
MSH6	3	3	4096	<0.1%	Yes
IL1RAPL2	1	1	4512	<0.1%	No
ROS1	18	17	4188	0.4%	Yes
TRAF3	1	1	998	0.1%	Yes
SHOC2	1	1	1747	<0.1%	Yes
ADAM12	1	1	4512	<0.1%	No
NRXN3	1	1	4512	<0.1%	No
NUP107	2	2	4512	<0.1%	No
FAM155A	4	4	4512	<0.1%	No
MFSD11	1	1	4512	<0.1%	No
DCN	1	1	4512	<0.1%	No
KIT	1	1	4512	<0.1%	Yes
GNPTAB	1	1	4512	<0.1%	No
SHPRH	1	1	4512	<0.1%	No
DCC	1	1	274	0.4%	No
PDCD1LG2	2	2	3156	<0.1%	Yes
DCTN1	1	1	4512	<0.1%	Yes
CD276	3	3	2507	0.1%	Yes
ARID1A	2	2	4084	<0.1%	Yes
PBRM1	1	1	3888	<0.1%	Yes
CENPP	1	1	4512	<0.1%	No
GLI1	15	15	3589	0.4%	Yes
NTRK1	27	23	4078	0.6%	Yes
NTRK2	4	4	4037	<0.1%	Yes
NTRK3	10	10	4077	0.2%	Yes
DDB2	1	1	1220	<0.1%	Yes
GUCY1B2	1	1	4512	<0.1%	No
FASTK	1	1	4512	<0.1%	No
BBC3	1	1	2507	<0.1%	Yes
DDIT3	35	35	310	11.3%	Yes
GLI2	1	1	1286	<0.1%	No
EMID1	2	2	4512	<0.1%	No
PAK5	3	3	2596	0.1%	Yes
DDX3X	1	1	305	0.3%	Yes
KPNA3	1	1	4512	<0.1%	No
GTSF1	1	1	4512	<0.1%	No
CTC1	1	1	4512	<0.1%	No
DDR2	1	1	4116	<0.1%	Yes
EEF1AKNMT	1	1	4512	<0.1%	No
CHST11	1	1	4512	<0.1%	No
DSCR10	1	1	4512	<0.1%	No
BCAN	2	2	4512	<0.1%	No
GYPC	1	1	4512	<0.1%	No
OTOGL	1	1	4512	<0.1%	No
KRAS	2	2	4512	<0.1%	Yes
SLITRK4	1	1	4512	<0.1%	No
GUSBP1	1	1	4512	<0.1%	No
LINC01287	1	1	4512	<0.1%	No
ZNF77	1	1	4512	<0.1%	No
RFTN1	1	1	4512	<0.1%	No
CSF1R	2	2	3726	<0.1%	Yes
GNA11	1	1	4379	<0.1%	Yes
TTC23	2	2	4512	<0.1%	No
SLC39A11	1	1	4512	<0.1%	No
FUS	47	46	1312	3.5%	Yes
LARP4B	1	1	2	50.0%	Yes
YEATS4	1	1	4512	<0.1%	No
MIR-4444-1/4444	3	3	4512	<0.1%	No
MAP3K13	3	3	2598	0.1%	Yes
BHLHE22	1	1	4512	<0.1%	No
TRABD2A	1	1	4512	<0.1%	No
KMT2D	18	17	3947	0.4%	Yes
CRTC2	2	2	411	0.5%	No
GNAS	5	5	4476	0.1%	Yes
FYB1	1	1	4512	<0.1%	No
LINC01446	1	1	4512	<0.1%	No
CSF3R	1	1	3649	<0.1%	Yes
PTPRR	2	2	4512	<0.1%	No
PTPRS	6	6	2507	0.2%	Yes
NSD3	5	4	2444	0.2%	Yes
